Tumor type,Ta,Ta,Ta,Ta,Ta,Ta,Ta,Ta,Ta,T2-4,T2-4,T2-4,T2-4,T2-4,T2-4,T2-4,T2-4,T2-4,T2-4
ATP5B,26111.47,30323.88,30921.25,12604.82,14733.78,34760.83,27685.22,40897.02,38823.9,27505.78,4453.35,37338.32,44504.55,28047.62,36379.65,35909.59,39846.98,26974.39,26281.82
HSPCB,12180.7,15560.5,16655.81,3754.86,9665.6,15455.01,13489.17,20989.83,19743.36,14243.57,2496.56,20847.53,19476.57,15246.18,15989.71,13038.1,11853.74,4390.77,10206.17
S100A6,24028.9,21317.99,24028.9,7057.06,17503.27,28453.02,24028.9,42805.39,39337,17017.15,2968.09,20580.49,4724.02,25781.9,17017.15,24541.9,28654.08,5140.55,10249.52
FLOT2,64747.61,65571.77,43246.07,18972.31,41616.89,87697.68,37437.45,103016.73,71318.13,64425.35,6101.74,30916.03,23283.45,70529.59,72003.59,14804.85,30192.86,13226.11,57891.13
TEGT,38842.49,50443.78,42768.41,5037.44,29909.31,48404.58,26065.69,66417.41,34319.71,34319.71,4014.62,32932.33,40758.21,41607.88,29097.72,20489.4,56311.54,17017.04,30115.72
UBB,9790.97,11295.03,12631.56,5359.05,4912.6,12169.34,10949.53,11155.54,11225.07,10418.59,2302.05,11155.54,7311.46,4205.84,13358.02,9730.33,4732.84,5809.87,9975.18
TPT1,11841.62,12585.53,12557.93,8213.53,6095.82,12466.17,7441.49,9619.54,8148,12537.67,1681.57,10095.46,5459.9,6123.03,8968.07,10633.28,9594.73,3661.3,2788.52
CFL1,5104.02,4922.07,5945.21,2179.25,4462.66,6298.89,4635.99,8632.38,8799.37,4465.57,2465.37,11413.71,8179.4,6190.66,10563.62,6260.1,6900.14,5047.27,6968.89
ACTB,3399.07,3419.79,4839.77,1623.63,1973,3954.09,3305.09,5785.19,5593.89,2988.78,3040.91,10680.68,10147.73,3397.94,10173.66,3983.5,4910.96,2975.01,5261.5
RPS13,11454.43,14257.45,8964.92,5476.75,5678.69,11073.6,6273.49,15530.3,9133.29,12147.51,1660.06,15837.97,13486.26,8100.87,16907.79,11095.79,4827.35,4133.6,5367.41
RPS23,8200.26,13438.27,12668.98,3439.84,4172.95,10326.08,6484.57,13780.62,11183.81,10586.96,1401.24,8667.7,8648.76,7589.9,6806.21,11689.39,7141.44,2351.13,4813.71
GAPD,5894.79,9120.68,6842.03,1560.4,6505.25,10768.4,7389.78,14790.58,6472.15,7440.09,2197.12,23408.51,12004.47,11344.94,14190.91,7660.58,15950.87,8944.65,7271.32
UBC,6897.57,7900.47,9207.41,2710.38,6740.97,6493.19,5978.56,11394.14,7861.82,5918.31,2626.8,12821.29,12428.89,8028.62,8306.01,4950.94,8008.77,6512.5,6203.09
FLJ20030,10834.64,13610.7,12835.31,4828.79,7720.24,13610.7,6516.87,14339.18,9448.76,6307.93,1328.64,13260.46,10151.03,11489.17,8968.74,6145.61,11193.53,6105.69,7000
group,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
